學年度,階段,學號,宿舍,房號
101,第一志願,0013414,七宿舍,102
101,第一志願, 0013425,七宿舍,102
101,第一志願, 0013429,七宿舍,102
101,第一志願, 9953051,七宿舍,102
101,第一志願,9821022,七宿舍,105
101,第一志願, 9821129,七宿舍,105
101,第一志願, 9821132,七宿舍,105
101,第一志願, 9821140,七宿舍,105
101,第一志願,0010133,七宿舍,106
101,第一志願, 0010143,七宿舍,106
101,第一志願, 0010720,七宿舍,106
101,第一志願, 0016205,七宿舍,106
101,第一志願,9821126,七宿舍,107
101,第一志願, 9923080,七宿舍,107
101,第一志願, 9923120,七宿舍,107
101,第一志願, 9923148,七宿舍,107
101,第一志願,0011097,七宿舍,109
101,第一志願, 0013101,七宿舍,109
101,第一志願, 0013143,七宿舍,109
101,第一志願, 0013324,七宿舍,109
101,第一志願,0010501,七宿舍,111
101,第一志願, 0010504,七宿舍,111
101,第一志願, 0010518,七宿舍,111
101,第一志願, 0010531,七宿舍,111
101,第一志願,0010726,七宿舍,112
101,第一志願, 0010746,七宿舍,112
101,第一志願, 0010806,七宿舍,112
101,第一志願, 0010850,七宿舍,112
101,第一志願,0010512,七宿舍,116
101,第一志願, 0010515,七宿舍,116
101,第一志願, 0010516,七宿舍,116
101,第一志願, 0010524,七宿舍,116
101,第一志願,0011028,七宿舍,119
101,第一志願, 0011060,七宿舍,119
101,第一志願, 0011091,七宿舍,119
101,第一志願, 0011099,七宿舍,119
101,第一志願,0013333,七宿舍,123
101,第一志願, 0013338,七宿舍,123
101,第一志願, 0013341,七宿舍,123
101,第一志願, 0013343,七宿舍,123
101,第一志願,0010021,七宿舍,124
101,第一志願, 0010024,七宿舍,124
101,第一志願, 0010026,七宿舍,124
101,第一志願, 0010030,七宿舍,124
101,第一志願,0010505,七宿舍,125
101,第一志願, 0010508,七宿舍,125
101,第一志願, 0010509,七宿舍,125
101,第一志願, 0010521,七宿舍,125
101,第一志願,0010703,七宿舍,202
101,第一志願, 0010719,七宿舍,202
101,第一志願, 0010729,七宿舍,202
101,第一志願, 0010759,七宿舍,202
101,第一志願,0010004,七宿舍,203
101,第一志願, 0010007,七宿舍,203
101,第一志願, 0010009,七宿舍,203
101,第一志願, 0010029,七宿舍,203
101,第一志願,0010005,七宿舍,207
101,第一志願, 0010006,七宿舍,207
101,第一志願, 0010022,七宿舍,207
101,第一志願, 0010028,七宿舍,207
101,第一志願,0011031,七宿舍,208
101,第一志願, 0011035,七宿舍,208
101,第一志願, 0011048,七宿舍,208
101,第一志願, 0011061,七宿舍,208
101,第一志願,9914024,七宿舍,209
101,第一志願, 9914028,七宿舍,209
101,第一志願, 9914063,七宿舍,209
101,第一志願, 9914071,七宿舍,209
101,第一志願,9816018,七宿舍,214
101,第一志願, 9816055,七宿舍,214
101,第一志願, 9816063,七宿舍,214
101,第一志願, 9816093,七宿舍,214
101,第一志願,0011508,七宿舍,216
101,第一志願, 0011513,七宿舍,216
101,第一志願, 0016245,七宿舍,216
101,第一志願, 0016307,七宿舍,216
101,第一志願,0010002,七宿舍,218
101,第一志願, 0010010,七宿舍,218
101,第一志願, 0010011,七宿舍,218
101,第一志願, 0010025,七宿舍,218
101,第一志願,0011005,七宿舍,221
101,第一志願, 0011071,七宿舍,221
101,第一志願, 0011105,七宿舍,221
101,第一志願, 0011106,七宿舍,221
101,第一志願,9717057,七宿舍,222
101,第一志願, 9914043,七宿舍,222
101,第一志願, 9914053,七宿舍,222
101,第一志願, 9914083,七宿舍,222
101,第一志願,0010103,七宿舍,224
101,第一志願, 0010109,七宿舍,224
101,第一志願, 0010173,七宿舍,224
101,第一志願, 0010174,七宿舍,224
101,第一志願,0011003,七宿舍,225
101,第一志願, 0011043,七宿舍,225
101,第一志願, 0011059,七宿舍,225
101,第一志願, 0011101,七宿舍,225
101,第一志願,0010707,七宿舍,231
101,第一志願, 0010731,七宿舍,231
101,第一志願, 0010774,七宿舍,231
101,第一志願, 0010832,七宿舍,231
101,第一志願,0011011,七宿舍,232
101,第一志願, 0011065,七宿舍,232
101,第一志願, 0011067,七宿舍,232
101,第一志願, 0011070,七宿舍,232
101,第一志願,9923004,七宿舍,233
101,第一志願, 9923048,七宿舍,233
101,第一志願, 9923104,七宿舍,233
101,第一志願, 9923153,七宿舍,233
101,第一志願,0011006,七宿舍,234
101,第一志願, 0011015,七宿舍,234
101,第一志願, 0011041,七宿舍,234
101,第一志願, 0011066,七宿舍,234
101,第一志願,9823061,七宿舍,301
101,第一志願, 9823078,七宿舍,301
101,第一志願, 9823121,七宿舍,301
101,第一志願, 9823130,七宿舍,301
101,第一志願,0013319,七宿舍,302
101,第一志願, 0013337,七宿舍,302
101,第一志願, 0013345,七宿舍,302
101,第一志願, 0013351,七宿舍,302
101,第一志願,9843016,七宿舍,311
101,第一志願, 9843023,七宿舍,311
101,第一志願, 9843038,七宿舍,311
101,第一志願, 9843049,七宿舍,311
101,第一志願,0011034,七宿舍,315
101,第一志願, 0011078,七宿舍,315
101,第一志願, 0011081,七宿舍,315
101,第一志願, 0011085,七宿舍,315
101,第一志願,0010519,七宿舍,316
101,第一志願, 0010528,七宿舍,316
101,第一志願, 0010710,七宿舍,316
101,第一志願, 0016304,七宿舍,316
101,第一志願,0011044,七宿舍,317
101,第一志願, 0011084,七宿舍,317
101,第一志願, 0011094,七宿舍,317
101,第一志願, 0011100,七宿舍,317
101,第一志願,0010110,七宿舍,318
101,第一志願, 0010135,七宿舍,318
101,第一志願, 0010146,七宿舍,318
101,第一志願, 0011290,七宿舍,318
101,第一志願,0010511,七宿舍,320
101,第一志願, 0010523,七宿舍,320
101,第一志願, 0010532,七宿舍,320
101,第一志願, 0010537,七宿舍,320
101,第一志願,9811002,七宿舍,322
101,第一志願, 9811053,七宿舍,322
101,第一志願, 9811056,七宿舍,322
101,第一志願, 9821122,七宿舍,322
101,第一志願,0017044,七宿舍,324
101,第一志願, 0017049,七宿舍,324
101,第一志願, 0017051,七宿舍,324
101,第一志願, 0017053,七宿舍,324
101,第一志願,0015407,七宿舍,325
101,第一志願, 0015431,七宿舍,325
101,第一志願, 0015432,七宿舍,325
101,第一志願, 0015434,七宿舍,325
101,第一志願,0015347,七宿舍,326
101,第一志願, 0015349,七宿舍,326
101,第一志願, 0015350,七宿舍,326
101,第一志願, 0015351,七宿舍,326
101,第一志願,0010008,七宿舍,327
101,第一志願, 0010023,七宿舍,327
101,第一志願, 0015311,七宿舍,327
101,第一志願, 0015314,七宿舍,327
101,第一志願,0016053,八宿舍,101
101,第一志願, 0016078,八宿舍,101
101,第一志願, 0016092,八宿舍,101
101,第一志願, 0016301,八宿舍,101
101,第一志願,0011527,八宿舍,102
101,第一志願, 0011529,八宿舍,102
101,第一志願, 0011544,八宿舍,102
101,第一志願, 0011551,八宿舍,102
101,第一志願,0010739,八宿舍,103
101,第一志願, 0010783,八宿舍,103
101,第一志願, 0010844,八宿舍,103
101,第一志願, 0010856,八宿舍,103
101,第一志願,9823011,八宿舍,104
101,第一志願, 9823105,八宿舍,104
101,第一志願, 9921005,八宿舍,104
101,第一志願, 9923109,八宿舍,104
101,第一志願,0011603,八宿舍,105
101,第一志願, 0011604,八宿舍,105
101,第一志願, 0011607,八宿舍,105
101,第一志願, 0011608,八宿舍,105
101,第一志願,0010701,八宿舍,106
101,第一志願, 0010708,八宿舍,106
101,第一志願, 0010715,八宿舍,106
101,第一志願, 0012502,八宿舍,106
101,第一志願,0011606,八宿舍,107
101,第一志願, 0011612,八宿舍,107
101,第一志願, 0011617,八宿舍,107
101,第一志願, 0011621,八宿舍,107
101,第一志願,0012004,八宿舍,108
101,第一志願, 0012024,八宿舍,108
101,第一志願, 0012120,八宿舍,108
101,第一志願, 0012121,八宿舍,108
101,第一志願,0010711,八宿舍,109
101,第一志願, 0010771,八宿舍,109
101,第一志願, 0010831,八宿舍,109
101,第一志願, 0010859,八宿舍,109
101,第一志願,0012003,八宿舍,110
101,第一志願, 0012008,八宿舍,110
101,第一志願, 0012106,八宿舍,110
101,第一志願, 0012112,八宿舍,110
101,第一志願,9828023,八宿舍,111
101,第一志願, 9828034,八宿舍,111
101,第一志願, 9828046,八宿舍,111
101,第一志願, 9828057,八宿舍,111
101,第一志願,9921007,八宿舍,112
101,第一志願, 9921010,八宿舍,112
101,第一志願, 9921127,八宿舍,112
101,第一志願, 9921135,八宿舍,112
101,第一志願,9823057,八宿舍,113
101,第一志願, 9923014,八宿舍,113
101,第一志願, 9923126,八宿舍,113
101,第一志願, 9923138,八宿舍,113
101,第一志願,0010769,八宿舍,114
101,第一志願, 0011506,八宿舍,114
101,第一志願, 0011512,八宿舍,114
101,第一志願, 0011540,八宿舍,114
101,第一志願,0012240,八宿舍,116
101,第一志願, 9911068,八宿舍,116
101,第一志願, 9911075,八宿舍,116
101,第一志願, 9916044,八宿舍,116
101,第一志願,0013303,八宿舍,118
101,第一志願, 0013344,八宿舍,118
101,第一志願, 0013347,八宿舍,118
101,第一志願, 0013356,八宿舍,118
101,第一志願,0010111,八宿舍,120
101,第一志願, 0010152,八宿舍,120
101,第一志願, 0010178,八宿舍,120
101,第一志願, 0010179,八宿舍,120
101,第一志願,9932011,八宿舍,122
101,第一志願, 9932047,八宿舍,122
101,第一志願, 9932049,八宿舍,122
101,第一志願, 9933067,八宿舍,122
101,第一志願,0012015,八宿舍,123
101,第一志願, 0012036,八宿舍,123
101,第一志願, 0012103,八宿舍,123
101,第一志願, 0012107,八宿舍,123
101,第一志願,0013426,八宿舍,127
101,第一志願, 0013427,八宿舍,127
101,第一志願, 0013428,八宿舍,127
101,第一志願, 9944026,八宿舍,127
101,第一志願,9814028,八宿舍,129
101,第一志願, 9814030,八宿舍,129
101,第一志願, 9814046,八宿舍,129
101,第一志願, 9814051,八宿舍,129
101,第一志願,0011504,八宿舍,130
101,第一志願, 0011531,八宿舍,130
101,第一志願, 0011549,八宿舍,130
101,第一志願, 0011554,八宿舍,130
101,第一志願,0010539,八宿舍,132
101,第一志願, 0011002,八宿舍,132
101,第一志願, 0011042,八宿舍,132
101,第一志願, 0011108,八宿舍,132
101,第一志願,0015313,八宿舍,133
101,第一志願, 0015342,八宿舍,133
101,第一志願, 0015344,八宿舍,133
101,第一志願, 0015345,八宿舍,133
101,第一志願,0011501,八宿舍,134
101,第一志願, 0011514,八宿舍,134
101,第一志願, 0011534,八宿舍,134
101,第一志願, 0011542,八宿舍,134
101,第一志願,9811052,九宿舍,102
101,第一志願, 9923027,九宿舍,102
101,第一志願, 9923051,九宿舍,102
101,第一志願, 9923155,九宿舍,102
101,第一志願,0011237,九宿舍,106
101,第一志願, 0011280,九宿舍,106
101,第一志願, 0011285,九宿舍,106
101,第一志願, 0011288,九宿舍,106
101,第一志願,0019046,九宿舍,109
101,第一志願, 0019047,九宿舍,109
101,第一志願, 0019048,九宿舍,109
101,第一志願, 0019049,九宿舍,109
101,第一志願,0012211,九宿舍,110
101,第一志願, 0012217,九宿舍,110
101,第一志願, 0012243,九宿舍,110
101,第一志願, 0012244,九宿舍,110
101,第一志願,0012203,九宿舍,113
101,第一志願, 0012216,九宿舍,113
101,第一志願, 0012222,九宿舍,113
101,第一志願, 0012251,九宿舍,113
101,第一志願,0010735,九宿舍,114
101,第一志願, 0010775,九宿舍,114
101,第一志願, 0010863,九宿舍,114
101,第一志願, 0010871,九宿舍,114
101,第一志願,0016017,九宿舍,115
101,第一志願, 0016206,九宿舍,115
101,第一志願, 0016213,九宿舍,115
101,第一志願, 0016302,九宿舍,115
101,第一志願,0011203,九宿舍,117
101,第一志願, 0011205,九宿舍,117
101,第一志願, 0011217,九宿舍,117
101,第一志願, 0011277,九宿舍,117
101,第一志願,9816012,九宿舍,119
101,第一志願, 9816033,九宿舍,119
101,第一志願, 9816100,九宿舍,119
101,第一志願, 9816107,九宿舍,119
101,第一志願,0011229,九宿舍,120
101,第一志願, 0011273,九宿舍,120
101,第一志願, 0011275,九宿舍,120
101,第一志願, 0016324,九宿舍,120
101,第一志願,0012505,九宿舍,125
101,第一志願, 0012511,九宿舍,125
101,第一志願, 0012513,九宿舍,125
101,第一志願, 0012529,九宿舍,125
101,第一志願,0012557,九宿舍,127
101,第一志願, 0016105,九宿舍,127
101,第一志願, 9816108,九宿舍,127
101,第一志願, 9828056,九宿舍,127
101,第一志願,0016043,九宿舍,131
101,第一志願, 0016061,九宿舍,131
101,第一志願, 0016309,九宿舍,131
101,第一志願, 0016316,九宿舍,131
101,第一志願,0010878,九宿舍,132
101,第一志願, 0011302,九宿舍,132
101,第一志願, 0016106,九宿舍,132
101,第一志願, 9916103,九宿舍,132
101,第一志願,0010020,九宿舍,202
101,第一志願, 0011536,九宿舍,202
101,第一志願, 0011539,九宿舍,202
101,第一志願, 0016328,九宿舍,202
101,第一志願,0016037,九宿舍,203
101,第一志願, 0016062,九宿舍,203
