學年度	階段	學號	宿舍	房號						第一志願	870
105	第一志願	410773	十三宿	821							
105	第一志願	410774	十三宿	821							
105	第一志願	410856	十三宿	821							
105	第一志願	411035	七宿舍	237							
105	第一志願	411045	七宿舍	237							
105	第一志願	411088	七宿舍	237							
105	第一志願	411096	七宿舍	237							
105	第一志願	0411280(Ｘ)	七宿舍	331							
105	第一志願	413314	七宿舍	331							
105	第一志願	413326	七宿舍	331							
105	第一志願	413334	七宿舍	331							
105	第一志願	310754	七宿舍	301							
105	第一志願	310781	七宿舍	301							
105	第一志願	310846	七宿舍	301							
105	第一志願	211510	七宿舍	302							
105	第一志願	211538	七宿舍	302							
105	第一志願	211549	七宿舍	302							
105	第一志願	210712	七宿舍	303							
105	第一志願	210816	七宿舍	303							
105	第一志願	216314	七宿舍	303							
105	第一志願	213409	七宿舍	305							
105	第一志願	213414	七宿舍	305							
105	第一志願	213419	七宿舍	305							
105	第一志願	211038	七宿舍	306							
105	第一志願	211094	七宿舍	306							
105	第一志願	211103	七宿舍	306							
105	第一志願	212004	七宿舍	307							
105	第一志願	312221	七宿舍	307							
105	第一志願	312246	七宿舍	307							
105	第一志願	313222	七宿舍	309							
105	第一志願	313234	七宿舍	309							
105	第一志願	313235	七宿舍	309							
105	第一志願	211048	七宿舍	310							
105	第一志願	211115	七宿舍	310							
105	第一志願	412529	七宿舍	310							
105	第一志願	316062	八宿舍	240							
105	第一志願	316087	八宿舍	240							
105	第一志願	316206	八宿舍	240							
105	第一志願	411036	八宿舍	241							
105	第一志願	411080	八宿舍	241							
105	第一志願	416058	八宿舍	241							
105	第一志願	210900	八宿舍	301							
105	第一志願	210906	八宿舍	301							
105	第一志願	210908	八宿舍	301							
105	第一志願	210711	八宿舍	302							
105	第一志願	210809	八宿舍	302							
105	第一志願	210899	八宿舍	302							
105	第一志願	212023	八宿舍	303							
105	第一志願	212123	八宿舍	303							
105	第一志願	212126	八宿舍	303							
105	第一志願	211019	八宿舍	304							
105	第一志願	211062	八宿舍	304							
105	第一志願	211080	八宿舍	304							
105	第一志願	310736	八宿舍	307							
105	第一志願	310808	八宿舍	307							
105	第一志願	310842	八宿舍	307							
105	第一志願	310185	八宿舍	309							
105	第一志願	312244	八宿舍	309							
105	第一志願	312259	八宿舍	309							
105	第一志願	210128	八宿舍	313							
105	第一志願	210142	八宿舍	313							
105	第一志願	210191	八宿舍	313							
105	第一志願	215427	八宿舍	315							
105	第一志願	215434	八宿舍	315							
105	第一志願	215436	八宿舍	315							
105	第一志願	310191	八宿舍	317							
105	第一志願	310193	八宿舍	317							
105	第一志願	313259	八宿舍	317							
105	第一志願	210722	八宿舍	318							
105	第一志願	210782	八宿舍	318							
105	第一志願	310746	八宿舍	318							
105	第一志願	413315	八宿舍	319							
105	第一志願	413328	八宿舍	319							
105	第一志願	413357	八宿舍	319							
105	第一志願	310120	八宿舍	320							
105	第一志願	310138	八宿舍	320							
105	第一志願	310167	八宿舍	320							
105	第一志願	213425	八宿舍	321							
105	第一志願	213430	八宿舍	321							
105	第一志願	213431	八宿舍	321							
105	第一志願	211028	八宿舍	322							
105	第一志願	211045	八宿舍	322							
105	第一志願	211076	八宿舍	322							
105	第一志願	412243	八宿舍	324							
105	第一志願	412244	八宿舍	324							
105	第一志願	412250	八宿舍	324							
105	第一志願	311035	八宿舍	325							
105	第一志願	311039	八宿舍	325							
105	第一志願	311059	八宿舍	325							
105	第一志願	216017	八宿舍	326							
105	第一志願	216028	八宿舍	326							
105	第一志願	216095	八宿舍	326							
105	第一志願	310743	八宿舍	329							
105	第一志願	310770	八宿舍	329							
105	第一志願	310840	八宿舍	329							
105	第一志願	210774	八宿舍	331							
105	第一志願	210798	八宿舍	331							
105	第一志願	210887	八宿舍	331							
105	第一志願	310516	八宿舍	423							
105	第一志願	317001	八宿舍	423							
105	第一志願	411116	八宿舍	423							
105	第一志願	413365	八宿舍	423							
105	第一志願	316231	八宿舍	424							
105	第一志願	316341	八宿舍	424							
105	第一志願	313337	八宿舍	424							
105	第一志願	313360	八宿舍	424							
105	第一志願	310013	八宿舍	426							
105	第一志願	310029	八宿舍	426							
105	第一志願	210008	八宿舍	426							
105	第一志願	216071	八宿舍	426							
105	第一志願	316047	八宿舍	427							
105	第一志願	316308	八宿舍	427							
105	第一志願	111212	八宿舍	427							
105	第一志願	216001	八宿舍	427							
105	第一志願	310515	八宿舍	428							
105	第一志願	310533	八宿舍	428							
105	第一志願	213314	八宿舍	428							
105	第一志願	213338	八宿舍	428							
105	第一志願	211609	八宿舍	429							
105	第一志願	211620	八宿舍	429							
105	第一志願	213302	八宿舍	429							
105	第一志願	213333	八宿舍	429							
105	第一志願	210129	七宿舍	303							
105	第一志願	110105	七宿舍	305							
105	第一志願	410848	七宿舍	306							
105	第一志願	310844	七宿舍	307							
105	第一志願	216320	八宿舍	240							
105	第一志願	316021	八宿舍	241							
105	第一志願	312210	八宿舍	301							
105	第一志願	211068	八宿舍	302							
105	第一志願	312218	八宿舍	303							
105	第一志願	 0312247(Ｘ)	八宿舍	303							
105	第一志願	413135	九宿舍	321							
105	第二志願	412506	七宿舍	209							
105	第二志願	412539	七宿舍	209							
105	第二志願	412543	七宿舍	209							
105	第二志願	412544	七宿舍	209							
105	第二志願	412224	七宿舍	210							
105	第二志願	412228	七宿舍	210							
105	第二志願	412235	七宿舍	210							
105	第二志願	412248	七宿舍	210							
105	第二志願	410136	七宿舍	211							
105	第二志願	410170	七宿舍	211							
105	第二志願	410172	七宿舍	211							
105	第二志願	410187	七宿舍	211							
105	第二志願	411239	七宿舍	214							
105	第二志願	411283	七宿舍	214							
105	第二志願	411284	七宿舍	214							
105	第二志願	411297	七宿舍	214							
105	第二志願	310717	七宿舍	217							
105	第二志願	310785	七宿舍	217							
105	第二志願	310797	七宿舍	217							
105	第二志願	310821	七宿舍	217							
105	第二志願	410786	七宿舍	218							
105	第二志願	410838	七宿舍	218							
105	第二志願	410846	七宿舍	218							
105	第二志願	410869	七宿舍	218							
105	第二志願	412212	七宿舍	221							
105	第二志願	412231	七宿舍	221							
105	第二志願	412240	七宿舍	221							
105	第二志願	412251	七宿舍	221							
105	第二志願	413346	七宿舍	223							
105	第二志願	413348	七宿舍	223							
105	第二志願	413361	七宿舍	223							
105	第二志願	413368	七宿舍	223							
105	第二志願	410716	七宿舍	224							
105	第二志願	410807	七宿舍	224							
105	第二志願	410825	七宿舍	224							
105	第二志願	413220	七宿舍	224							
105	第二志願	411221	八宿舍	136							
105	第二志願	411247	八宿舍	136							
105	第二志願	411288	八宿舍	136							
105	第二志願	412226	八宿舍	136							
105	第二志願	416018	八宿舍	137							
105	第二志願	416041	八宿舍	137							
105	第二志願	416082	八宿舍	137							
105	第二志願	416238	八宿舍	137							
105	第二志願	416010	八宿舍	201							
105	第二志願	416066	八宿舍	201							
105	第二志願	416302	八宿舍	201							
105	第二志願	416304	八宿舍	201							
105	第二志願	410709	八宿舍	204							
105	第二志願	410758	八宿舍	204							
105	第二志願	410815	八宿舍	204							
105	第二志願	410843	八宿舍	204							
105	第二志願	410742	八宿舍	206							
105	第二志願	410772	八宿舍	206							
105	第二志願	410834	八宿舍	206							
105	第二志願	410840	八宿舍	206							
105	第二志願	411207	八宿舍	207							
105	第二志願	411212	八宿舍	207							
105	第二志願	411233	八宿舍	207							
105	第二志願	411246	八宿舍	207							
105	第二志願	416070	八宿舍	208							
105	第二志願	416220	八宿舍	208							
105	第二志願	416316	八宿舍	208							
105	第二志願	416317	八宿舍	208							
105	第二志願	410701	八宿舍	212							
105	第二志願	410743	八宿舍	212							
105	第二志願	410835	八宿舍	212							
105	第二志願	410836	八宿舍	212							
105	第二志願	216034	八宿舍	213							
105	第二志願	216331	八宿舍	213							
105	第二志願	316074	八宿舍	213							
105	第二志願	316336	八宿舍	213							
105	第二志願	411276	八宿舍	214							
105	第二志願	415403	八宿舍	214							
105	第二志願	415434	八宿舍	214							
105	第二志願	415442	八宿舍	214							
105	第二志願	411238	八宿舍	215							
105	第二志願	411243	八宿舍	215							
105	第二志願	411245	八宿舍	215							
105	第二志願	411269	八宿舍	215							
105	第二志願	410003	八宿舍	216							
105	第二志願	410004	八宿舍	216							
105	第二志願	410013	八宿舍	216							
105	第二志願	410030	八宿舍	216							
105	第二志願	416028	十三宿	822							
105	第二志願	416042	十三宿	822							
105	第二志願	416063	十三宿	822							
105	第二志願	416233	十三宿	822							
105	第二志願	410744	十三宿	902							
105	第二志願	410770	十三宿	902							
105	第二志願	410801	十三宿	902							
105	第二志願	410857	十三宿	902							
105	第二志願	412507	十三宿	903							
105	第二志願	412513	十三宿	903							
105	第二志願	412515	十三宿	903							
105	第二志願	412525	十三宿	903							
105	第二志願	410792	十三宿	904							
105	第二志願	410810	十三宿	904							
105	第二志願	410827	十三宿	904							
105	第二志願	410855	十三宿	904							
105	第二志願	411016	十三宿	906							
105	第二志願	411054	十三宿	906							
105	第二志願	411063	十三宿	906							
105	第二志願	412536	十三宿	906							
105	第二志願	416080	十三宿	908							
105	第二志願	416084	十三宿	908							
105	第二志願	416305	十三宿	908							
105	第二志願	416320	十三宿	908							
105	第二志願	416076	十三宿	909							
105	第二志願	416213	十三宿	909							
105	第二志願	416244	十三宿	909							
105	第二志願	416313	十三宿	909							
105	第二志願	411214	十三宿	910							
105	第二志願	411217	十三宿	910							
105	第二志願	411290	十三宿	910							
105	第二志願	411294	十三宿	910							
105	第二志願	416006	十三宿	911							
105	第二志願	416030	十三宿	911							
105	第二志願	416090	十三宿	911							
105	第二志願	416098	十三宿	911							
105	第二志願	416033	十三宿	912							
105	第二志願	416067	十三宿	912							
105	第二志願	416094	十三宿	912							
105	第二志願	416206	十三宿	912							
105	第二志願	313321	七宿舍	315							
105	第二志願	313324	七宿舍	315							
105	第二志願	313347	七宿舍	315							
105	第二志願	313311	七宿舍	319							
105	第二志願	313312	七宿舍	319							
105	第二志願	313363	七宿舍	319							
105	第二志願	213339	七宿舍	321							
105	第二志願	213340	七宿舍	321							
105	第二志願	213358	七宿舍	321							
105	第二志願	211501	七宿舍	324							
105	第二志願	211515	七宿舍	324							
105	第二志願	211522	七宿舍	324							
105	第二志願	312209	七宿舍	325							
105	第二志願	312238	七宿舍	325							
105	第二志願	316239	七宿舍	325							
105	第二志願	313123	七宿舍	329							
105	第二志願	313140	七宿舍	329							
105	第二志願	313148	七宿舍	329							
105	第二志願	313201	七宿舍	330							
105	第二志願	313210	七宿舍	330							
105	第二志願	413225	七宿舍	330							
105	第二志願	411236	七宿舍	331							
105	第二志願	411266	七宿舍	331							
105	第二志願	411268	七宿舍	331							
105	第二志願	411219	八宿舍	332							
105	第二志願	411223	八宿舍	332							
105	第二志願	411234	八宿舍	332							
105	第二志願	211242	八宿舍	333							
105	第二志願	211263	八宿舍	333							
105	第二志願	211291	八宿舍	333							
105	第二志願	411005	八宿舍	335							
105	第二志願	411071	八宿舍	335							
105	第二志願	412530	八宿舍	335							
105	第二志願	310768	八宿舍	338							
105	第二志願	310775	八宿舍	338							
105	第二志願	310865	八宿舍	338							
105	第二志願	216030	八宿舍	339							
105	第二志願	216076	八宿舍	339							
105	第二志願	216237	八宿舍	339							
105	第二志願	212015	八宿舍	341							
105	第二志願	212106	八宿舍	341							
105	第二志願	212110	八宿舍	341							
105	第二志願	215332	八宿舍	402							
105	第二志願	215340	八宿舍	402							
105	第二志願	215353	八宿舍	402							
105	第二志願	210721	八宿舍	403							
105	第二志願	210805	八宿舍	403							
105	第二志願	210819	八宿舍	403							
105	第二志願	210708	八宿舍	404							
105	第二志願	210755	八宿舍	404							
105	第二志願	210806	八宿舍	404							
105	第二志願	316020	八宿舍	406							
105	第二志願	316057	八宿舍	406							
105	第二志願	316315	八宿舍	406							
105	第二志願	410859	八宿舍	408							
105	第二志願	410863	八宿舍	408							
105	第二志願	416109	八宿舍	408							
105	第二志願	210766	八宿舍	411							
105	第二志願	210830	八宿舍	411							
105	第二志願	210874	八宿舍	411							
105	第二志願	310132	八宿舍	430							
105	第二志願	311516	八宿舍	430							
105	第二志願	210742	八宿舍	430							
105	第二志願	210778	八宿舍	430							
105	第二志願	211516	八宿舍	431							
105	第二志願	211531	八宿舍	431							
105	第二志願	410796	八宿舍	431							
105	第二志願	410821	八宿舍	431							
105	第二志願	311617	八宿舍	433							
105	第二志願	411608	八宿舍	433							
105	第二志願	410502	八宿舍	433							
105	第二志願	410529	八宿舍	433							
105	第二志願	410799	七宿舍	309							
105	第二志願	411271	七宿舍	310							
105	第二志願	411291	七宿舍	315							
105	第二志願	310893	七宿舍	319							
105	第二志願	316086	七宿舍	321							
105	第二志願	410708	七宿舍	324							
105	第二志願	211302	八宿舍	304							
105	第二志願	312517	八宿舍	307							
105	第二志願	416047	八宿舍	309							
105	第二志願	316210	八宿舍	313							
105	第二志願	311121	八宿舍	315							
105	第二志願	410787	八宿舍	317							
105	第二志願	412227	八宿舍	318							
105	第二志願	415341	八宿舍	319							
105	第二志願	411519	八宿舍	320							
105	第二志願	410145	八宿舍	321							
105	第三志願	210185	七宿舍	225							
105	第三志願	410144	七宿舍	225							
105	第三志願	416073	七宿舍	225							
105	第三志願	416307	七宿舍	225							
105	第三志願	415306	七宿舍	226							
105	第三志願	415314	七宿舍	226							
105	第三志願	415328	七宿舍	226							
105	第三志願	415348	七宿舍	226							
105	第三志願	416303	七宿舍	229							
105	第三志願	416306	七宿舍	229							
105	第三志願	416308	七宿舍	229							
105	第三志願	416323	七宿舍	229							
105	第三志願	412016	七宿舍	230							
105	第三志願	412023	七宿舍	230							
105	第三志願	412121	七宿舍	230							
105	第三志願	412122	七宿舍	230							
105	第三志願	316022	七宿舍	233							
105	第三志願	410750	七宿舍	233							
105	第三志願	410788	七宿舍	233							
105	第三志願	416212	七宿舍	233							
105	第三志願	310784	七宿舍	235							
105	第三志願	310884	七宿舍	235							
105	第三志願	310885	七宿舍	235							
105	第三志願	310886	七宿舍	235							
105	第三志願	410747	七宿舍	236							
105	第三志願	410763	七宿舍	236							
105	第三志願	410768	七宿舍	236							
105	第三志願	410798	七宿舍	236							
105	第三志願	410149	八宿舍	222							
105	第三志願	410159	八宿舍	222							
105	第三志願	410178	八宿舍	222							
105	第三志願	410189	八宿舍	222							
105	第三志願	417031	八宿舍	224							
105	第三志願	417057	八宿舍	224							
105	第三志願	417066	八宿舍	224							
105	第三志願	417077	八宿舍	224							
105	第三志願	412233	八宿舍	226							
105	第三志願	412236	八宿舍	226							
105	第三志願	412242	八宿舍	226							
105	第三志願	416311	八宿舍	226							
105	第三志願	413233	八宿舍	227							
105	第三志願	416016	八宿舍	227							
105	第三志願	416240	八宿舍	227							
105	第三志願	416250	八宿舍	227							
105	第三志願	410731	八宿舍	229							
105	第三志願	410732	八宿舍	229							
105	第三志願	410785	八宿舍	229							
105	第三志願	410809	八宿舍	229							
105	第三志願	411081	八宿舍	231							
105	第三志願	411095	八宿舍	231							
105	第三志願	411099	八宿舍	231							
105	第三志願	411104	八宿舍	231							
105	第三志願	411201	八宿舍	233							
105	第三志願	411231	八宿舍	233							
105	第三志願	411262	八宿舍	233							
105	第三志願	411263	八宿舍	233							
105	第三志願	410730	八宿舍	235							
105	第三志願	410779	八宿舍	235							
105	第三志願	410803	八宿舍	235							
105	第三志願	410823	八宿舍	235							
105	第三志願	216051	七宿舍	332							
105	第三志願	216209	七宿舍	332							
105	第三志願	216217	七宿舍	332							
105	第三志願	412003	七宿舍	333							
105	第三志願	412006	七宿舍	333							
105	第三志願	412109	七宿舍	333							
105	第三志願	412215	七宿舍	336							
105	第三志願	412225	七宿舍	336							
105	第三志願	412247	七宿舍	336							
105	第三志願	310887	七宿舍	337							
105	第三志願	310889	七宿舍	337							
105	第三志願	310892	七宿舍	337							
105	第三志願	210731	八宿舍	413							
105	第三志願	210787	八宿舍	413							
105	第三志願	210804	八宿舍	413							
105	第三志願	310731	八宿舍	414							
105	第三志願	310820	八宿舍	414							
105	第三志願	310823	八宿舍	414							
105	第三志願	416020	八宿舍	415							
105	第三志願	416032	八宿舍	415							
105	第三志願	416048	八宿舍	415							
105	第三志願	416214	八宿舍	416							
105	第三志願	416224	八宿舍	416							
105	第三志願	416245	八宿舍	416							
105	第三志願	316211	八宿舍	417							
105	第三志願	410026	八宿舍	417							
105	第三志願	410029	八宿舍	417							
105	第三志願	216048	八宿舍	418							
105	第三志願	216207	八宿舍	418							
105	第三志願	216242	八宿舍	418							
105	第三志願	411264	八宿舍	419							
105	第三志願	411272	八宿舍	419							
105	第三志願	411530	八宿舍	419							
105	第三志願	411614	八宿舍	420							
105	第三志願	411616	八宿舍	420							
105	第三志願	411624	八宿舍	420							
105	第三志願	212033	八宿舍	421							
105	第三志願	215409	八宿舍	421							
105	第三志願	215413	八宿舍	421							
105	第三志願	316105	八宿舍	434							
105	第三志願	317078	八宿舍	434							
105	第三志願	410717	八宿舍	434							
105	第三志願	410783	八宿舍	434							
105	第三志願	210786	八宿舍	435							
105	第三志願	210814	八宿舍	435							
105	第三志願	210909	八宿舍	435							
105	第三志願	211305	八宿舍	435							
105	第三志願	312025	八宿舍	436							
105	第三志願	317002	八宿舍	436							
105	第三志願	0311292(Ｘ)	八宿舍	338							
105	第三志願	312035	八宿舍	338							
105	第三志願	313421	八宿舍	338							
105	第三志願	316101	八宿舍	437							
105	第三志願	316307	八宿舍	437							
105	第三志願	213231	八宿舍	437							
105	第三志願	213240	八宿舍	437							
105	第三志願	410518	七宿舍	238							
105	第三志願	411049	七宿舍	238							
105	第三志願	410109	七宿舍	301							
105	第三志願	410139	七宿舍	301							
105	第三志願	410824	七宿舍	325							
105	第三志願	116330	七宿舍	329							
105	第三志願	412551	七宿舍	330							
105	第三志願	210886	八宿舍	322							
105	第三志願	211303	八宿舍	324							
105	第三志願	216341	八宿舍	325							
105	第三志願	211224	八宿舍	326							
105	第三志願	112019	八宿舍	329							
105	第三志願	413212	八宿舍	331							
105	第三志願	410148	八宿舍	332							
105	第三志願	413345	八宿舍	333							
105	第四志願	312006	八宿舍	422							
105	第四志願	312021	八宿舍	422							
105	第四志願	312125	八宿舍	422							
105	第四志願	210902	八宿舍	438							
105	第四志願	210903	八宿舍	438							
105	第四志願	412011	八宿舍	438							
105	第四志願	412124	八宿舍	438							
105	第四志願	416040	八宿舍	440							
105	第四志願	416228	八宿舍	440							
105	第四志願	412218	八宿舍	440							
105	第四志願	416237	八宿舍	440							
