學年度	階段	學號	宿舍	房號						第一志願	870
105	第一志願	416221	九宿舍	122							
105	第一志願	416225	九宿舍	122							
105	第一志願	416087	九宿舍	124							
105	第一志願	416093	九宿舍	124							
105	第一志願	416234	九宿舍	124							
105	第一志願	416236	九宿舍	124							
105	第一志願	417019	九宿舍	127							
105	第一志願	417029	九宿舍	127							
105	第一志願	417035	九宿舍	127							
105	第一志願	417055	九宿舍	127							
105	第一志願	410128	九宿舍	128							
105	第一志願	410152	九宿舍	128							
105	第一志願	410182	九宿舍	128							
105	第一志願	416215	九宿舍	128							
105	第一志願	410002	九宿舍	133							
105	第一志願	410005	九宿舍	133							
105	第一志願	410015	九宿舍	133							
105	第一志願	410027	九宿舍	133							
105	第一志願	410875	九宿舍	201							
105	第一志願	411298	九宿舍	201							
105	第一志願	416101	九宿舍	201							
105	第一志願	416108	九宿舍	201							
105	第一志願	412509	九宿舍	204							
105	第一志願	412516	九宿舍	204							
105	第一志願	412520	九宿舍	204							
105	第一志願	412549	九宿舍	204							
105	第一志願	312223	九宿舍	208							
105	第一志願	312230	九宿舍	208							
105	第一志願	312242	九宿舍	208							
105	第一志願	312250	九宿舍	208							
105	第一志願	411204	九宿舍	214							
105	第一志願	411210	九宿舍	214							
105	第一志願	411230	九宿舍	214							
105	第一志願	411296	九宿舍	214							
105	第一志願	417014	九宿舍	216							
105	第一志願	417025	九宿舍	216							
105	第一志願	417041	九宿舍	216							
105	第一志願	417048	九宿舍	216							
105	第一志願	415303	九宿舍	221							
105	第一志願	415307	九宿舍	221							
105	第一志願	415320	九宿舍	221							
105	第一志願	415324	九宿舍	221							
105	第一志願	412253	九宿舍	222							
105	第一志願	416053	九宿舍	222							
105	第一志願	416068	九宿舍	222							
105	第一志願	416315	九宿舍	222							
105	第一志願	310859	九宿舍	223							
105	第一志願	310872	九宿舍	223							
105	第一志願	311302	九宿舍	223							
105	第一志願	311303	九宿舍	223							
105	第一志願	416052	九宿舍	225							
105	第一志願	416056	九宿舍	225							
105	第一志願	416075	九宿舍	225							
105	第一志願	416325	九宿舍	225							
105	第一志願	416059	九宿舍	226							
105	第一志願	416241	九宿舍	226							
105	第一志願	416309	九宿舍	226							
105	第一志願	416310	九宿舍	226							
105	第一志願	416083	九宿舍	228							
105	第一志願	416106	九宿舍	228							
105	第一志願	416217	九宿舍	228							
105	第一志願	416235	九宿舍	228							
105	第一志願	410006	九宿舍	230							
105	第一志願	410009	九宿舍	230							
105	第一志願	410017	九宿舍	230							
105	第一志願	410021	九宿舍	230							
105	第一志願	416026	九宿舍	233							
105	第一志願	416035	九宿舍	233							
105	第一志願	416050	九宿舍	233							
105	第一志願	416065	九宿舍	233							
105	第一志願	410712	九宿舍	301							
105	第一志願	410760	九宿舍	301							
105	第一志願	410775	九宿舍	301							
105	第一志願	410829	九宿舍	301							
105	第一志願	311288	九宿舍	302							
105	第一志願	313159	九宿舍	302							
105	第一志願	316091	九宿舍	302							
105	第一志願	316104	九宿舍	302							
105	第一志願	412501	九宿舍	304							
105	第一志願	412517	九宿舍	304							
105	第一志願	412523	九宿舍	304							
105	第一志願	412541	九宿舍	304							
105	第一志願	410734	九宿舍	306							
105	第一志願	410802	九宿舍	306							
105	第一志願	411205	九宿舍	306							
105	第一志願	411222	九宿舍	306							
105	第一志願	416005	九宿舍	307							
105	第一志願	416069	九宿舍	307							
105	第一志願	416208	九宿舍	307							
105	第一志願	416328	九宿舍	307							
105	第一志願	310127	九宿舍	308							
105	第一志願	410141	九宿舍	308							
105	第一志願	410168	九宿舍	308							
105	第一志願	410184	九宿舍	308							
105	第一志願	416055	九宿舍	310							
105	第一志願	416057	九宿舍	310							
105	第一志願	416096	九宿舍	310							
105	第一志願	416223	九宿舍	310							
105	第一志願	410715	九宿舍	311							
105	第一志願	410759	九宿舍	311							
105	第一志願	410819	九宿舍	311							
105	第一志願	410828	九宿舍	311							
105	第一志願	310002	九宿舍	312							
105	第一志願	410011	九宿舍	312							
105	第一志願	410014	九宿舍	312							
105	第一志願	416247	九宿舍	312							
105	第一志願	410102	九宿舍	313							
105	第一志願	410121	九宿舍	313							
105	第一志願	410177	九宿舍	313							
105	第一志願	410185	九宿舍	313							
105	第一志願	416019	九宿舍	318							
105	第一志願	416034	九宿舍	318							
105	第一志願	416097	九宿舍	318							
105	第一志願	416324	九宿舍	318							
105	第一志願	410751	九宿舍	323							
105	第一志願	410767	九宿舍	323							
