學年度,階段,學號,宿舍,房號,是否確認
98,保留原寢,9729505,二宿舍,101,
98,保留原寢,9745514,二宿舍,101,
98,保留原寢,9642802,二宿舍,102,
98,保留原寢,9735804,二宿舍,104,
98,保留原寢,9618812,二宿舍,104,
98,保留原寢,9513639,二宿舍,110,
98,保留原寢,9728512,二宿舍,116,
98,保留原寢,9750504,二宿舍,116,未確認申請
98,保留原寢,9555833,二宿舍,123,
98,保留原寢,9749503,二宿舍,123,
98,保留原寢,9522804,二宿舍,202,
98,保留原寢,9733809,二宿舍,204,
98,保留原寢,9516802,二宿舍,205,
98,保留原寢,9333801,二宿舍,205,
98,保留原寢,9522805,二宿舍,206,
98,保留原寢,9522803,二宿舍,206,
98,保留原寢,9628807,二宿舍,213,
98,保留原寢,9628810,二宿舍,213,
98,保留原寢,9718802,二宿舍,317,
98,保留原寢,9751804,二宿舍,318,
98,保留原寢,9648804,二宿舍,318,
98,保留原寢,9612820,二宿舍,319,
98,保留原寢,9129502,四宿舍,101,
98,保留原寢,9311829,四宿舍,102,
98,保留原寢,9211828,四宿舍,102,
98,保留原寢,9614814,四宿舍,104,
98,保留原寢,9229506,四宿舍,105,
98,保留原寢,9351804,四宿舍,106,
98,保留原寢,9651803,四宿舍,106,
98,保留原寢,9119507,四宿舍,107,
98,保留原寢,9251506,四宿舍,108,
98,保留原寢,9651807,四宿舍,108,
98,保留原寢,9635804,四宿舍,110,
98,保留原寢,9228518,四宿舍,110,
98,保留原寢,9555808,四宿舍,111,
98,保留原寢,9755860,四宿舍,111,
98,保留原寢,9635805,四宿舍,112,
98,保留原寢,9635803,四宿舍,112,
98,保留原寢,9422537,四宿舍,113,
98,保留原寢,9323801,四宿舍,113,
98,保留原寢,9528502,四宿舍,114,
98,保留原寢,9529803,四宿舍,114,
98,保留原寢,9516807,四宿舍,115,
98,保留原寢,9616809,四宿舍,115,
98,保留原寢,9121502,四宿舍,116,
98,保留原寢,9518836,四宿舍,118,
98,保留原寢,9518826,四宿舍,118,
98,保留原寢,9228524,四宿舍,119,
