學年度,階段,學號,宿舍,房號,是否確認
103,保留原寢,9735804,博愛二舍,104,
103,保留原寢,0283603,博愛二舍,105,
103,保留原寢,0253106,博愛二舍,105,
103,保留原寢,0159019,博愛二舍,118,
103,未保留原寢,0259015,博愛二舍,118,
103,保留原寢,0280214,博愛二舍,119,
103,保留原寢,0189204,博愛二舍,203,
103,未保留原寢,0259511,博愛二舍,207,
103,保留原寢,9947505,博愛二舍,207,
103,保留原寢,0087202,博愛二舍,209,
103,未保留原寢,0257023,博愛二舍,216,
103,保留原寢,0257027,博愛二舍,216,
103,保留原寢,9728805,博愛二舍,217,
103,保留原寢,9818814,博愛二舍,217,
103,保留原寢,0253255,博愛二舍,304,
103,未保留原寢,0253655,博愛二舍,304,
103,保留原寢,0253105,博愛二舍,309,
103,保留原寢,0260231,博愛二舍,309,
103,保留原寢,0251719,博愛二舍,310,
103,保留原寢,0251724,博愛二舍,310,未確認申請
103,保留原寢,9718802,博愛二舍,317,
103,保留原寢,0157031,博愛二舍,317,
103,保留原寢,0259215,博愛二舍,318,
103,保留原寢,0259313,博愛二舍,318,
103,保留原寢,9929515,博愛二舍,321,
103,保留原寢,9932802,四宿舍,102,
103,保留原寢,9718832,四宿舍,103,
103,保留原寢,9951501,四宿舍,103,
103,保留原寢,9811543,四宿舍,105,
103,保留原寢,0281701,四宿舍,106,
103,保留原寢,0087204,四宿舍,106,
103,保留原寢,0057202,四宿舍,107,
103,保留原寢,9951802,四宿舍,107,
103,保留原寢,0187202,四宿舍,108,
103,保留原寢,0182601,四宿舍,110,
103,保留原寢,0082601,四宿舍,110,
103,保留原寢,0086054,四宿舍,111,
103,保留原寢,0287101,四宿舍,111,
103,保留原寢,9811555,四宿舍,112,
103,保留原寢,0089604,四宿舍,113,
103,保留原寢,0089605,四宿舍,113,
103,保留原寢,0187101,四宿舍,114,
103,保留原寢,0080009,四宿舍,115,
103,保留原寢,9951806,四宿舍,117,
103,保留原寢,9912816,四宿舍,120,
103,保留原寢,9813819,四宿舍,201,
103,保留原寢,9955843,四宿舍,202,
103,保留原寢,9951804,四宿舍,203,
103,保留原寢,9921806,四宿舍,204,
103,保留原寢,9711812,四宿舍,207,
103,保留原寢,9751811,四宿舍,210,
103,保留原寢,9811845,四宿舍,211,
103,保留原寢,9711839,四宿舍,211,
103,保留原寢,0157015,四宿舍,212,
103,保留原寢,9851811,四宿舍,213,
103,保留原寢,9924819,四宿舍,214,
103,保留原寢,9651502,四宿舍,214,
103,保留原寢,9912820,四宿舍,216,
103,保留原寢,0180013,四宿舍,216,
103,保留原寢,9814804,四宿舍,218,
103,保留原寢,9811507,四宿舍,218,
103,保留原寢,9851807,四宿舍,221,
103,保留原寢,9624513,四宿舍,222,
103,保留原寢,0081505,四宿舍,303,
103,保留原寢,9818812,四宿舍,303,
103,保留原寢,9914819,四宿舍,305,
103,保留原寢,9814826,四宿舍,305,
103,保留原寢,9751813,四宿舍,306,
103,保留原寢,0280102,四宿舍,312,
103,保留原寢,9955804,四宿舍,313,
103,保留原寢,9728809,四宿舍,314,
103,保留原寢,9932803,四宿舍,314,
103,保留原寢,9955816,四宿舍,315,
103,保留原寢,9955818,四宿舍,316,
103,保留原寢,0086015,四宿舍,316,
103,保留原寢,9812822,四宿舍,317,
103,保留原寢,0080010,四宿舍,317,
103,保留原寢,0082703,四宿舍,318,
103,保留原寢,9731809,四宿舍,320,
103,保留原寢,0252308,五宿舍,311,
103,保留原寢,0253004,五宿舍,311,未確認申請
103,保留原寢,0256084,五宿舍,311,未確認申請
103,保留原寢,0259605,五宿舍,311,未確認申請
103,保留原寢,0250561,六宿舍,222,
103,保留原寢,0252036,六宿舍,222,
103,保留原寢,0256077,六宿舍,222,
103,保留原寢,0256516,六宿舍,222,
103,保留原寢,0251032,六宿舍,311,
103,保留原寢,0251039,六宿舍,311,
103,未保留原寢,0251112,六宿舍,311,
103,未保留原寢,0251113,六宿舍,311,
103,保留原寢,0260215,六宿舍,321,
103,保留原寢,0260239,六宿舍,321,
103,未保留原寢,0260267,六宿舍,321,
103,保留原寢,0260293,六宿舍,321,
103,保留原寢,0250733,六宿舍,414,
103,保留原寢,0260019,六宿舍,414,
103,未保留原寢,0260041,六宿舍,414,
103,保留原寢,0260067,六宿舍,414,
103,保留原寢,0117011,七宿舍,105,
103,保留原寢,0117012,七宿舍,105,
103,保留原寢,0117046,七宿舍,105,
103,保留原寢,0117047,七宿舍,105,
103,未保留原寢,0010103,七宿舍,106,
103,保留原寢,0010133,七宿舍,106,
103,保留原寢,0010143,七宿舍,106,
103,未保留原寢,0010174,七宿舍,106,
103,未保留原寢,0116030,七宿舍,110,
103,保留原寢,0116230,七宿舍,110,
103,保留原寢,0116234,七宿舍,110,
103,保留原寢,0116242,七宿舍,110,
103,保留原寢,0010501,七宿舍,111,
103,保留原寢,0010504,七宿舍,111,
103,保留原寢,0010518,七宿舍,111,
103,未保留原寢,0010528,七宿舍,111,
103,保留原寢,0010762,七宿舍,112,
103,保留原寢,0010806,七宿舍,112,
103,保留原寢,0010826,七宿舍,112,
103,未保留原寢,0110712,七宿舍,112,
103,未保留原寢,0116079,七宿舍,113,
103,未保留原寢,0116303,七宿舍,113,
103,保留原寢,0116314,七宿舍,113,
103,保留原寢,0116342,七宿舍,113,
103,保留原寢,0110002,七宿舍,114,
103,保留原寢,0110014,七宿舍,114,
103,未保留原寢,0110022,七宿舍,114,
103,保留原寢,0110031,七宿舍,114,
103,保留原寢,0111052,七宿舍,115,
103,保留原寢,0111080,七宿舍,115,
103,保留原寢,0111085,七宿舍,115,
103,保留原寢,0111086,七宿舍,115,
103,保留原寢,0010512,七宿舍,116,
103,保留原寢,0010515,七宿舍,116,
103,保留原寢,0010516,七宿舍,116,
103,保留原寢,0010524,七宿舍,116,
103,保留原寢,0011028,七宿舍,119,
103,保留原寢,0011060,七宿舍,119,
103,保留原寢,0011091,七宿舍,119,
103,未保留原寢,0016090,七宿舍,119,
103,未保留原寢,0011536,七宿舍,123,
103,保留原寢,0013333,七宿舍,123,
103,保留原寢,0013341,七宿舍,123,
103,保留原寢,0013343,七宿舍,123,
103,未保留原寢,0010887,七宿舍,126,
103,保留原寢,0010892,七宿舍,126,
103,未保留原寢,0012242,七宿舍,126,
103,保留原寢,0012260,七宿舍,126,
103,保留原寢,0010703,七宿舍,202,
103,未保留原寢,0010739,七宿舍,202,
103,保留原寢,0010759,七宿舍,202,
103,未保留原寢,0016329,七宿舍,202,
103,保留原寢,0010004,七宿舍,203,
103,保留原寢,0010007,七宿舍,203,
103,未保留原寢,0010010,七宿舍,203,
103,保留原寢,0010029,七宿舍,203,
103,保留原寢,0110108,七宿舍,204,
103,保留原寢,0110115,七宿舍,204,
103,保留原寢,0110120,七宿舍,204,
103,保留原寢,0112221,七宿舍,204,
103,未保留原寢,0110703,七宿舍,205,
103,保留原寢,0110724,七宿舍,205,
103,保留原寢,0113234,七宿舍,205,
103,未保留原寢,0116042,七宿舍,205,
103,保留原寢,0010006,七宿舍,207,
103,未保留原寢,0010022,七宿舍,207,
103,保留原寢,0010023,七宿舍,207,
103,保留原寢,0010028,七宿舍,207,
103,保留原寢,0011035,七宿舍,208,
103,保留原寢,0011048,七宿舍,208,
103,保留原寢,0011059,七宿舍,208,
103,保留原寢,0011061,七宿舍,208,
103,保留原寢,0110004,七宿舍,209,
103,保留原寢,0110008,七宿舍,209,
103,保留原寢,0110020,七宿舍,209,
103,保留原寢,0110023,七宿舍,209,
103,未保留原寢,0110511,七宿舍,210,
103,保留原寢,0110515,七宿舍,210,
103,保留原寢,0110533,七宿舍,210,
103,未保留原寢,0113330,七宿舍,210,
103,保留原寢,0110507,七宿舍,211,
103,保留原寢,0110519,七宿舍,211,
103,未保留原寢,0110544,七宿舍,211,
103,未保留原寢,0111112,七宿舍,211,
103,保留原寢,0110011,七宿舍,214,
103,未保留原寢,0110016,七宿舍,214,
103,保留原寢,0110029,七宿舍,214,
103,保留原寢,0110030,七宿舍,214,
103,保留原寢,0110164,七宿舍,215,
103,保留原寢,0110525,七宿舍,215,
103,保留原寢,0110526,七宿舍,215,
103,保留原寢,0110704,七宿舍,215,
103,保留原寢,0011508,七宿舍,216,
103,保留原寢,0011513,七宿舍,216,
103,保留原寢,0016245,七宿舍,216,
103,保留原寢,0016307,七宿舍,216,
103,保留原寢,0112105,七宿舍,217,
103,保留原寢,0112128,七宿舍,217,
103,保留原寢,0112131,七宿舍,217,
103,保留原寢,0112132,七宿舍,217,
103,保留原寢,0011005,七宿舍,221,
103,保留原寢,0011011,七宿舍,221,
103,未保留原寢,0011070,七宿舍,221,
103,保留原寢,0011105,七宿舍,221,
103,保留原寢,0116035,七宿舍,224,
103,保留原寢,0116055,七宿舍,224,
103,保留原寢,0116056,七宿舍,224,
103,未保留原寢,0116316,七宿舍,224,
103,保留原寢,0119006,七宿舍,225,
103,保留原寢,0119020,七宿舍,225,
103,保留原寢,0119034,七宿舍,225,
103,保留原寢,0119037,七宿舍,225,
103,未保留原寢,0110143,七宿舍,226,
103,未保留原寢,0117026,七宿舍,226,
103,保留原寢,0117028,七宿舍,226,
103,保留原寢,0117052,七宿舍,226,
103,保留原寢,0110789,七宿舍,229,
103,保留原寢,0110797,七宿舍,229,
103,保留原寢,0110817,七宿舍,229,
103,保留原寢,0110849,七宿舍,229,
103,保留原寢,0110737,七宿舍,230,
103,未保留原寢,0110857,七宿舍,230,
103,保留原寢,0110863,七宿舍,230,
103,未保留原寢,0110889,七宿舍,230,
103,保留原寢,0010707,七宿舍,231,
103,未保留原寢,0010715,七宿舍,231,
103,保留原寢,0010731,七宿舍,231,
103,保留原寢,0010774,七宿舍,231,
103,保留原寢,0011065,七宿舍,232,
103,保留原寢,0016023,七宿舍,232,
103,保留原寢,0016209,七宿舍,232,
103,保留原寢,0019046,七宿舍,232,
103,保留原寢,0113233,七宿舍,236,
103,保留原寢,0113240,七宿舍,236,
103,保留原寢,0113249,七宿舍,236,
103,保留原寢,0115420,七宿舍,236,
103,未保留原寢,0110017,七宿舍,238,
103,保留原寢,0112120,七宿舍,238,
103,保留原寢,0112126,七宿舍,238,
103,保留原寢,0112129,七宿舍,238,
103,保留原寢,0110503,七宿舍,301,
103,保留原寢,0110508,七宿舍,301,
103,未保留原寢,0110509,七宿舍,301,
103,保留原寢,0110518,七宿舍,301,
103,未保留原寢,0110506,七宿舍,302,
103,保留原寢,0110516,七宿舍,302,
103,保留原寢,0110521,七宿舍,302,
103,保留原寢,0110530,七宿舍,302,
103,保留原寢,0113201,七宿舍,303,
103,未保留原寢,0113209,七宿舍,303,
103,保留原寢,0113212,七宿舍,303,
103,保留原寢,0113227,七宿舍,303,
103,保留原寢,0110501,七宿舍,305,
103,保留原寢,0110504,七宿舍,305,
103,保留原寢,0110535,七宿舍,305,
103,保留原寢,0110539,七宿舍,305,
103,保留原寢,0112212,七宿舍,306,
103,保留原寢,0112224,七宿舍,306,
103,保留原寢,0112249,七宿舍,306,
103,保留原寢,0112251,七宿舍,306,
103,保留原寢,0112222,七宿舍,310,
103,保留原寢,0112223,七宿舍,310,
103,保留原寢,0112232,七宿舍,310,
103,未保留原寢,0112267,七宿舍,310,
103,保留原寢,0010710,七宿舍,316,
103,保留原寢,0016017,七宿舍,316,
103,保留原寢,0016206,七宿舍,316,
103,保留原寢,0016304,七宿舍,316,
103,未保留原寢,0011043,七宿舍,317,
103,保留原寢,0011044,七宿舍,317,
103,保留原寢,0011094,七宿舍,317,
103,保留原寢,0011100,七宿舍,317,
103,保留原寢,0010110,七宿舍,318,
103,保留原寢,0010135,七宿舍,318,
103,保留原寢,0011290,七宿舍,318,
103,未保留原寢,0012018,七宿舍,318,
103,未保留原寢,0010831,七宿舍,319,
103,未保留原寢,0010859,七宿舍,319,
103,保留原寢,0110808,七宿舍,319,
103,保留原寢,0110864,七宿舍,319,
103,未保留原寢,0010509,七宿舍,320,
103,保留原寢,0010511,七宿舍,320,
103,保留原寢,0010523,七宿舍,320,
103,保留原寢,0010537,七宿舍,320,
103,未保留原寢,0110776,七宿舍,321,
103,保留原寢,0111519,七宿舍,321,
103,保留原寢,0111534,七宿舍,321,
103,保留原寢,0111547,七宿舍,321,
103,保留原寢,0110741,七宿舍,322,
103,保留原寢,0110781,七宿舍,322,
103,保留原寢,0110793,七宿舍,322,
103,保留原寢,0110845,七宿舍,322,
103,保留原寢,0110768,七宿舍,324,
103,保留原寢,0110774,七宿舍,324,
103,保留原寢,0110794,七宿舍,324,
103,保留原寢,0110796,七宿舍,324,
103,保留原寢,0013339,七宿舍,328,
103,保留原寢,0016081,七宿舍,328,
103,保留原寢,0016202,七宿舍,328,
103,保留原寢,0016229,七宿舍,328,
103,保留原寢,0113238,七宿舍,331,
103,保留原寢,0113247,七宿舍,331,
103,保留原寢,0113250,七宿舍,331,
103,保留原寢,0113255,七宿舍,331,
103,保留原寢,0010503,七宿舍,332,
103,未保留原寢,0010513,七宿舍,332,
103,未保留原寢,0010534,七宿舍,332,
103,保留原寢,0010545,七宿舍,332,
103,保留原寢,0110713,七宿舍,333,
103,保留原寢,0110798,七宿舍,333,
103,保留原寢,0110848,七宿舍,333,
103,保留原寢,0110861,七宿舍,333,
103,保留原寢,0110729,七宿舍,337,
103,未保留原寢,0110803,七宿舍,337,
103,保留原寢,0110825,七宿舍,337,
103,保留原寢,0110844,七宿舍,337,
103,未保留原寢,0011012,七宿舍,338,
103,保留原寢,0011022,七宿舍,338,
103,保留原寢,0011046,七宿舍,338,
103,保留原寢,0011089,七宿舍,338,
103,保留原寢,0011527,八宿舍,102,
103,保留原寢,0011529,八宿舍,102,
103,保留原寢,0011544,八宿舍,102,
103,保留原寢,0011551,八宿舍,102,
103,保留原寢,0111042,八宿舍,106,
103,未保留原寢,0111062,八宿舍,106,
103,保留原寢,0111103,八宿舍,106,
103,未保留原寢,0113344,八宿舍,106,
103,保留原寢,0013303,八宿舍,118,
103,保留原寢,0013344,八宿舍,118,
103,保留原寢,0013347,八宿舍,118,
103,保留原寢,0013356,八宿舍,118,
103,保留原寢,0010787,八宿舍,120,
103,保留原寢,0013101,八宿舍,120,
103,保留原寢,0013143,八宿舍,120,
103,保留原寢,0013324,八宿舍,120,
103,未保留原寢,0012026,八宿舍,123,
103,未保留原寢,0012031,八宿舍,123,
103,保留原寢,0012036,八宿舍,123,
103,保留原寢,0012103,八宿舍,123,
103,未保留原寢,0010726,八宿舍,124,
103,未保留原寢,0010766,八宿舍,124,
103,保留原寢,0010786,八宿舍,124,
103,保留原寢,0010879,八宿舍,124,
103,保留原寢,0010539,八宿舍,132,
103,保留原寢,0011002,八宿舍,132,
103,保留原寢,0011042,八宿舍,132,
103,保留原寢,0011108,八宿舍,132,
103,保留原寢,0011501,八宿舍,134,
103,保留原寢,0011514,八宿舍,134,
103,保留原寢,0011534,八宿舍,134,
103,未保留原寢,0011545,八宿舍,134,
103,保留原寢,0016084,八宿舍,202,
103,保留原寢,0016317,八宿舍,202,
103,保留原寢,0016325,八宿舍,202,
103,保留原寢,0016330,八宿舍,202,
103,保留原寢,0111608,八宿舍,204,
103,保留原寢,0111611,八宿舍,204,
103,保留原寢,0111617,八宿舍,204,
103,保留原寢,0111619,八宿舍,204,
103,保留原寢,0113323,八宿舍,206,
103,保留原寢,0113324,八宿舍,206,
103,保留原寢,0113331,八宿舍,206,
103,保留原寢,0113340,八宿舍,206,
103,未保留原寢,0011056,八宿舍,209,
103,保留原寢,0111003,八宿舍,209,
103,未保留原寢,0111066,八宿舍,209,
103,保留原寢,0111073,八宿舍,209,
103,保留原寢,0112001,八宿舍,210,
103,未保留原寢,0112021,八宿舍,210,
103,保留原寢,0112106,八宿舍,210,
103,保留原寢,0112114,八宿舍,210,
103,保留原寢,0113332,八宿舍,212,
103,未保留原寢,0113335,八宿舍,212,
103,未保留原寢,0113346,八宿舍,212,
103,保留原寢,0113351,八宿舍,212,
103,保留原寢,0113313,八宿舍,213,
103,保留原寢,0113316,八宿舍,213,
103,保留原寢,0113341,八宿舍,213,
103,未保留原寢,0113350,八宿舍,213,
103,保留原寢,0113307,八宿舍,215,
103,保留原寢,0113342,八宿舍,215,
103,保留原寢,0113356,八宿舍,215,
103,保留原寢,0113357,八宿舍,215,
103,保留原寢,0110718,八宿舍,216,
103,保留原寢,0110762,八宿舍,216,
103,保留原寢,0110778,八宿舍,216,
103,保留原寢,0110858,八宿舍,216,
