學年度,階段,學號,宿舍,房號,是否確認
100,保留原寢,9628805,博愛二舍,102,
100,保留原寢,9735804,博愛二舍,104,
100,保留原寢,9513639,博愛二舍,110,
100,保留原寢,9555833,博愛二舍,123,
100,保留原寢,9928801,博愛二舍,202,
100,保留原寢,9827803,博愛二舍,205,
100,保留原寢,9522805,博愛二舍,206,
100,保留原寢,9628807,博愛二舍,209,
100,保留原寢,9929802,博愛二舍,210,
100,保留原寢,9926502,博愛二舍,211,
100,保留原寢,9931518,博愛二舍,211,
100,未保留原寢,9821552,博愛二舍,212,
100,保留原寢,9921513,博愛二舍,212,
100,保留原寢,9628810,博愛二舍,213,
100,保留原寢,9928515,博愛二舍,213,
100,保留原寢,9828801,博愛二舍,214,
100,保留原寢,9829806,博愛二舍,214,
100,保留原寢,9728805,博愛二舍,217,
100,保留原寢,9924524,博愛二舍,220,
100,保留原寢,9939511,博愛二舍,220,
100,保留原寢,9916809,博愛二舍,303,
100,保留原寢,9924804,博愛二舍,304,
100,保留原寢,9922524,博愛二舍,305,
100,未保留原寢,9928507,博愛二舍,305,
100,未保留原寢,9941513,博愛二舍,306,
100,保留原寢,9949505,博愛二舍,306,
100,保留原寢,9931530,博愛二舍,308,
100,保留原寢,9959504,博愛二舍,308,
100,保留原寢,9942806,博愛二舍,309,
100,保留原寢,9612820,博愛二舍,309,
100,未保留原寢,9935501,博愛二舍,314,
100,保留原寢,9935513,博愛二舍,314,
100,保留原寢,9818810,博愛二舍,315,
100,保留原寢,9929528,博愛二舍,316,
100,保留原寢,9957516,博愛二舍,316,
100,保留原寢,9718802,博愛二舍,317,
100,保留原寢,9848801,博愛二舍,321,
100,保留原寢,9912523,三宿舍,103,
100,保留原寢,9915510,三宿舍,103,
100,保留原寢,9916522,三宿舍,103,
100,保留原寢,9929522,三宿舍,103,
100,保留原寢,9512824,四宿舍,101,
100,保留原寢,9612822,四宿舍,101,
100,保留原寢,9225580,四宿舍,102,
100,保留原寢,9422537,四宿舍,103,
100,保留原寢,9718832,四宿舍,103,
100,保留原寢,9513506,四宿舍,104,
100,保留原寢,9651803,四宿舍,106,
100,保留原寢,9951802,四宿舍,107,
100,保留原寢,9613562,四宿舍,107,
100,保留原寢,9451803,四宿舍,108,
100,保留原寢,9651807,四宿舍,108,
100,保留原寢,9955818,四宿舍,110,
100,保留原寢,9912802,四宿舍,113,
100,保留原寢,9912820,四宿舍,113,
100,保留原寢,9829803,四宿舍,114,
100,保留原寢,9528502,四宿舍,114,
100,保留原寢,9728510,四宿舍,115,
100,保留原寢,9852805,四宿舍,116,
100,保留原寢,9611619,四宿舍,117,
100,保留原寢,9811824,四宿舍,117,
100,保留原寢,9912816,四宿舍,120,
100,保留原寢,9955843,四宿舍,202,
100,保留原寢,9951804,四宿舍,203,
100,保留原寢,9529512,四宿舍,203,
100,保留原寢,9851507,四宿舍,205,
100,保留原寢,9528801,四宿舍,205,
100,保留原寢,9713548,四宿舍,206,
100,保留原寢,9713550,四宿舍,206,
100,保留原寢,9821508,四宿舍,207,
100,保留原寢,9711812,四宿舍,207,
100,保留原寢,9528805,四宿舍,209,
100,保留原寢,9816808,四宿舍,209,
100,保留原寢,9751811,四宿舍,210,
100,保留原寢,9551805,四宿舍,210,
100,保留原寢,9655828,四宿舍,213,
100,保留原寢,9651805,四宿舍,213,
100,保留原寢,9651502,四宿舍,214,
100,保留原寢,9525501,四宿舍,215,
100,保留原寢,9628803,四宿舍,217,
100,保留原寢,9528802,四宿舍,217,
100,保留原寢,9814804,四宿舍,218,
100,保留原寢,9751805,四宿舍,218,
100,保留原寢,9812821,四宿舍,219,
100,保留原寢,9851807,四宿舍,221,
100,保留原寢,9619802,四宿舍,221,
100,保留原寢,9855866,四宿舍,222,
