學年度,階段,學號,宿舍,房號,是否確認
99,未保留原寢,9722530,博愛二舍,101,
99,保留原寢,9745514,博愛二舍,101,
99,保留原寢,9642802,博愛二舍,102,
99,保留原寢,9618812,博愛二舍,104,
99,保留原寢,9735804,博愛二舍,104,
99,未保留原寢,9804512,博愛二舍,106,
99,保留原寢,9857544,博愛二舍,106,
99,保留原寢,9513639,博愛二舍,110,
99,保留原寢,9829509,博愛二舍,118,
99,保留原寢,9852515,博愛二舍,118,
99,保留原寢,9851804,博愛二舍,121,
99,保留原寢,9555833,博愛二舍,123,
99,保留原寢,9749503,博愛二舍,123,
99,保留原寢,9522804,博愛二舍,202,
99,保留原寢,9333801,博愛二舍,205,
99,保留原寢,9522805,博愛二舍,206,
99,保留原寢,9522803,博愛二舍,206,
99,保留原寢,9622805,博愛二舍,207,
99,保留原寢,9418825,博愛二舍,210,
99,未保留原寢,9842502,博愛二舍,212,
99,保留原寢,9842506,博愛二舍,212,
99,保留原寢,9628807,博愛二舍,213,
99,保留原寢,9828801,博愛二舍,214,
99,保留原寢,9832534,博愛二舍,218,
99,未保留原寢,9851506,博愛二舍,218,
99,保留原寢,9849804,博愛二舍,304,
99,保留原寢,9612820,博愛二舍,309,
99,未保留原寢,9829510,博愛二舍,312,
99,保留原寢,9829516,博愛二舍,312,
99,保留原寢,9818810,博愛二舍,315,
99,保留原寢,9718802,博愛二舍,317,
99,保留原寢,9751804,博愛二舍,318,
99,保留原寢,9848801,博愛二舍,321,
99,保留原寢,9311829,四宿舍,102,
99,保留原寢,9513506,四宿舍,104,
99,保留原寢,9229506,四宿舍,105,
99,保留原寢,9613822,四宿舍,105,
99,保留原寢,9651803,四宿舍,106,
99,保留原寢,9351804,四宿舍,106,
99,保留原寢,9613562,四宿舍,107,
99,保留原寢,9651807,四宿舍,108,
99,保留原寢,9451803,四宿舍,108,
99,保留原寢,9555808,四宿舍,111,
99,保留原寢,9635803,四宿舍,112,
99,保留原寢,9635805,四宿舍,112,
99,保留原寢,9528502,四宿舍,114,
99,保留原寢,9529803,四宿舍,114,
99,保留原寢,9516807,四宿舍,115,
99,保留原寢,9852805,四宿舍,116,
99,保留原寢,9611619,四宿舍,117,
99,保留原寢,9811824,四宿舍,117,
99,保留原寢,9518826,四宿舍,118,
99,保留原寢,9518836,四宿舍,118,
99,保留原寢,9323538,四宿舍,119,
99,保留原寢,9312806,四宿舍,201,
99,保留原寢,9855828,四宿舍,201,
99,保留原寢,9829803,四宿舍,202,
99,保留原寢,9829804,四宿舍,202,
99,保留原寢,9529512,四宿舍,203,
99,保留原寢,9513825,四宿舍,204,
99,保留原寢,9528803,四宿舍,204,
99,保留原寢,9351802,四宿舍,205,
99,保留原寢,9727805,四宿舍,205,
99,保留原寢,9711812,四宿舍,207,
99,保留原寢,9752801,四宿舍,208,
99,保留原寢,9528805,四宿舍,209,
99,保留原寢,9816808,四宿舍,209,
99,保留原寢,9551805,四宿舍,210,
99,保留原寢,9751811,四宿舍,210,
99,保留原寢,9551802,四宿舍,211,
99,保留原寢,9411808,四宿舍,212,
99,保留原寢,9651805,四宿舍,213,
99,保留原寢,9655828,四宿舍,213,
99,保留原寢,9651502,四宿舍,214,
99,保留原寢,9525501,四宿舍,215,
99,保留原寢,9724820,四宿舍,215,
99,保留原寢,9318820,四宿舍,216,
99,保留原寢,9512530,四宿舍,216,
99,保留原寢,9528802,四宿舍,217,
99,保留原寢,9628803,四宿舍,217,
99,保留原寢,9814804,四宿舍,218,
99,保留原寢,9751805,四宿舍,218,
99,保留原寢,9812821,四宿舍,219,
99,保留原寢,9333813,四宿舍,220,
99,保留原寢,9333803,四宿舍,220,
99,保留原寢,9619802,四宿舍,221,
99,保留原寢,9851807,四宿舍,221,
99,保留原寢,9855866,四宿舍,222,
99,保留原寢,9627805,四宿舍,224,
99,保留原寢,9711808,四宿舍,301,
99,保留原寢,9711845,四宿舍,301,
99,保留原寢,9413802,四宿舍,302,
99,保留原寢,9818812,四宿舍,303,
99,保留原寢,9718811,四宿舍,303,
99,保留原寢,9323601,四宿舍,304,
99,保留原寢,9121502,四宿舍,305,
99,保留原寢,9751813,四宿舍,306,
99,保留原寢,9424810,四宿舍,306,
99,保留原寢,9318503,四宿舍,307,
99,保留原寢,9518525,四宿舍,307,
99,保留原寢,9424802,四宿舍,308,
99,保留原寢,9724806,四宿舍,308,
99,保留原寢,9555858,四宿舍,309,
99,保留原寢,9228518,四宿舍,310,
99,保留原寢,9621806,四宿舍,311,
99,保留原寢,9611849,四宿舍,312,
99,保留原寢,9611815,四宿舍,312,
99,保留原寢,9728809,四宿舍,314,
99,保留原寢,9824804,四宿舍,315,
99,保留原寢,9824801,四宿舍,316,
99,保留原寢,9812822,四宿舍,317,
99,保留原寢,9812815,四宿舍,317,
99,保留原寢,9527805,四宿舍,318,
99,保留原寢,9518531,四宿舍,319,
99,保留原寢,9418526,四宿舍,319,
99,保留原寢,9731809,四宿舍,320,
99,保留原寢,9328531,四宿舍,320,
99,保留原寢,9811832,四宿舍,321,
99,保留原寢,9811845,四宿舍,321,
99,保留原寢,9852801,四宿舍,322,
99,保留原寢,9811814,四宿舍,322,
99,保留原寢,9228509,四宿舍,323,
99,未保留原寢,9721004,八宿舍,103,
99,未保留原寢,9721024,八宿舍,103,
99,保留原寢,9721036,八宿舍,103,
99,保留原寢,9721041,八宿舍,103,
99,保留原寢,9611078,八宿舍,104,
99,保留原寢,9611084,八宿舍,104,
99,保留原寢,9611085,八宿舍,104,
99,未保留原寢,9611091,八宿舍,104,
99,保留原寢,9714032,八宿舍,105,
99,保留原寢,9714033,八宿舍,105,
99,未保留原寢,9714052,八宿舍,105,
99,保留原寢,9714066,八宿舍,105,
99,未保留原寢,9712008,八宿舍,106,
99,保留原寢,9712048,八宿舍,106,
99,保留原寢,9712049,八宿舍,106,
99,保留原寢,9712052,八宿舍,106,
99,保留原寢,9714025,八宿舍,107,
99,保留原寢,9714035,八宿舍,107,
99,保留原寢,9714045,八宿舍,107,
99,未保留原寢,9714081,八宿舍,107,
99,未保留原寢,9613003,八宿舍,109,
99,保留原寢,9613039,八宿舍,109,
99,保留原寢,9613049,八宿舍,109,
99,保留原寢,9613050,八宿舍,109,
99,未保留原寢,9721005,八宿舍,110,
99,保留原寢,9721012,八宿舍,110,
99,保留原寢,9721122,八宿舍,110,
99,未保留原寢,9732005,八宿舍,110,
99,保留原寢,9711010,八宿舍,111,
99,未保留原寢,9711011,八宿舍,111,
99,保留原寢,9711014,八宿舍,111,
99,未保留原寢,9711095,八宿舍,111,
99,保留原寢,9728013,八宿舍,112,
99,保留原寢,9728030,八宿舍,112,
99,保留原寢,9728037,八宿舍,112,
99,保留原寢,9728041,八宿舍,112,
99,保留原寢,9517196,八宿舍,114,
99,保留原寢,9521013,八宿舍,114,
99,未保留原寢,9621007,八宿舍,114,
99,未保留原寢,9621012,八宿舍,114,
99,保留原寢,9613018,八宿舍,115,
99,保留原寢,9613075,八宿舍,115,
99,保留原寢,9613079,八宿舍,115,
99,保留原寢,9613093,八宿舍,115,
99,未保留原寢,9728016,八宿舍,118,
99,保留原寢,9728044,八宿舍,118,
99,保留原寢,9728047,八宿舍,118,
99,未保留原寢,9728051,八宿舍,118,
99,保留原寢,9731014,八宿舍,125,
99,保留原寢,9731034,八宿舍,125,
99,保留原寢,9731047,八宿舍,125,
99,保留原寢,9731048,八宿舍,125,
99,保留原寢,9610009,八宿舍,128,
99,保留原寢,9610015,八宿舍,128,
99,未保留原寢,9610025,八宿舍,128,
99,未保留原寢,9613037,八宿舍,128,
99,保留原寢,9721008,八宿舍,129,
99,保留原寢,9721021,八宿舍,129,
99,保留原寢,9721102,八宿舍,129,
99,未保留原寢,9721133,八宿舍,129,
99,未保留原寢,9616066,八宿舍,130,
99,保留原寢,9621002,八宿舍,130,
99,保留原寢,9621101,八宿舍,130,
99,保留原寢,9621116,八宿舍,130,
99,保留原寢,9617084,八宿舍,131,
99,保留原寢,9617176,八宿舍,131,
99,保留原寢,9617184,八宿舍,131,
99,保留原寢,9618045,八宿舍,131,
99,保留原寢,9733009,八宿舍,132,
99,保留原寢,9733042,八宿舍,132,
99,保留原寢,9733046,八宿舍,132,
99,未保留原寢,9814089,八宿舍,132,
99,保留原寢,9613063,八宿舍,134,
99,保留原寢,9613078,八宿舍,134,
99,保留原寢,9643031,八宿舍,134,
99,保留原寢,9643047,八宿舍,134,
99,保留原寢,9711004,八宿舍,137,
99,保留原寢,9711028,八宿舍,137,
99,保留原寢,9711039,八宿舍,137,
99,未保留原寢,9711086,八宿舍,137,
99,保留原寢,9733007,八宿舍,202,
99,保留原寢,9733034,八宿舍,202,
99,保留原寢,9733035,八宿舍,202,
99,保留原寢,9733049,八宿舍,202,
99,保留原寢,9613090,八宿舍,203,
99,未保留原寢,9613109,八宿舍,203,
99,保留原寢,9622029,八宿舍,203,
99,未保留原寢,9632010,八宿舍,203,
99,未保留原寢,9611098,八宿舍,204,
99,保留原寢,9618052,八宿舍,204,
99,保留原寢,9621035,八宿舍,204,
99,保留原寢,9753034,八宿舍,204,
99,保留原寢,9613001,八宿舍,205,
99,保留原寢,9613030,八宿舍,205,
99,保留原寢,9613041,八宿舍,205,
99,保留原寢,9613057,八宿舍,205,
99,保留原寢,9714005,八宿舍,208,
99,保留原寢,9717052,八宿舍,208,
99,保留原寢,9717056,八宿舍,208,
99,保留原寢,9733047,八宿舍,208,
99,保留原寢,9712001,八宿舍,212,
99,保留原寢,9712028,八宿舍,212,
99,保留原寢,9712070,八宿舍,212,
99,未保留原寢,9725003,八宿舍,212,
99,保留原寢,9744003,八宿舍,214,
99,保留原寢,9744007,八宿舍,214,
99,保留原寢,9744020,八宿舍,214,
99,未保留原寢,9844022,八宿舍,214,
99,保留原寢,9611009,八宿舍,215,
99,保留原寢,9611010,八宿舍,215,
99,未保留原寢,9611023,八宿舍,215,
99,保留原寢,9611097,八宿舍,215,
99,保留原寢,9733008,八宿舍,217,
99,保留原寢,9733015,八宿舍,217,
99,保留原寢,9733017,八宿舍,217,
99,保留原寢,9733028,八宿舍,217,
99,保留原寢,9732017,八宿舍,219,
99,未保留原寢,9732032,八宿舍,219,
99,保留原寢,9732038,八宿舍,219,
99,保留原寢,9732051,八宿舍,219,
99,保留原寢,9711044,八宿舍,221,
99,保留原寢,9711070,八宿舍,221,
99,保留原寢,9711074,八宿舍,221,
99,保留原寢,9717123,八宿舍,221,
99,保留原寢,9733018,八宿舍,224,
99,保留原寢,9733021,八宿舍,224,
99,保留原寢,9733057,八宿舍,224,
99,未保留原寢,9821039,八宿舍,224,
99,保留原寢,9614025,八宿舍,225,
99,保留原寢,9614039,八宿舍,225,
99,未保留原寢,9614078,八宿舍,225,
99,未保留原寢,9614107,八宿舍,225,
99,未保留原寢,9628001,八宿舍,230,
99,保留原寢,9628028,八宿舍,230,
99,未保留原寢,9628029,八宿舍,230,
99,保留原寢,9628047,八宿舍,230,
99,保留原寢,9621027,八宿舍,231,
99,保留原寢,9621030,八宿舍,231,
99,保留原寢,9621038,八宿舍,231,
99,保留原寢,9621118,八宿舍,231,
99,保留原寢,9610007,八宿舍,233,
99,未保留原寢,9610021,八宿舍,233,
99,保留原寢,9610024,八宿舍,233,
99,保留原寢,9610031,八宿舍,233,
99,保留原寢,9614013,八宿舍,240,
99,未保留原寢,9614032,八宿舍,240,
99,保留原寢,9614060,八宿舍,240,
99,未保留原寢,9614085,八宿舍,240,
99,未保留原寢,9721001,八宿舍,303,
99,未保留原寢,9721023,八宿舍,303,
99,保留原寢,9721028,八宿舍,303,
99,保留原寢,9721044,八宿舍,303,
99,保留原寢,9714051,八宿舍,304,
99,保留原寢,9714083,八宿舍,304,
99,保留原寢,9714093,八宿舍,304,未確認申請
99,保留原寢,9714099,八宿舍,304,
99,未保留原寢,9721019,八宿舍,305,
99,保留原寢,9721037,八宿舍,305,
99,保留原寢,9721038,八宿舍,305,
99,未保留原寢,9721120,八宿舍,305,
99,未保留原寢,9617050,八宿舍,309,
99,保留原寢,9622036,八宿舍,309,
99,保留原寢,9622043,八宿舍,309,
99,未保留原寢,9732002,八宿舍,309,
99,未保留原寢,9712030,八宿舍,310,
99,未保留原寢,9712044,八宿舍,310,
99,保留原寢,9731001,八宿舍,310,
99,保留原寢,9731004,八宿舍,310,
99,未保留原寢,9616008,八宿舍,311,
99,保留原寢,9631024,八宿舍,311,
99,保留原寢,9631051,八宿舍,311,
99,未保留原寢,9733004,八宿舍,311,
99,保留原寢,9621001,八宿舍,312,
99,未保留原寢,9621111,八宿舍,312,
99,保留原寢,9621132,八宿舍,312,
99,未保留原寢,9621134,八宿舍,312,
99,未保留原寢,9531037,八宿舍,315,
99,保留原寢,9616050,八宿舍,315,
99,保留原寢,9616077,八宿舍,315,
99,保留原寢,9717026,八宿舍,315,
99,保留原寢,9611013,八宿舍,316,
99,未保留原寢,9611044,八宿舍,316,
99,保留原寢,9611104,八宿舍,316,
99,未保留原寢,9825020,八宿舍,316,
99,保留原寢,9628010,八宿舍,322,
99,保留原寢,9628027,八宿舍,322,
99,未保留原寢,9628040,八宿舍,322,
99,保留原寢,9628048,八宿舍,322,
99,保留原寢,9617038,八宿舍,323,
99,保留原寢,9617049,八宿舍,323,
99,保留原寢,9617064,八宿舍,323,
99,保留原寢,9617127,八宿舍,323,
99,保留原寢,9611031,八宿舍,325,
99,保留原寢,9611054,八宿舍,325,
99,未保留原寢,9611068,八宿舍,325,
99,保留原寢,9611086,八宿舍,325,
99,保留原寢,9621004,八宿舍,326,
99,未保留原寢,9621022,八宿舍,326,
99,保留原寢,9621136,八宿舍,326,
99,未保留原寢,9724018,八宿舍,326,
99,保留原寢,9612025,八宿舍,327,
